City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Easton,US,75.54,overcast clouds,40.6884,-75.2207,Grand Eastonian Hotel & Suites
6,Atuona,PF,77.74,light rain,-9.8,-139.0333,Villa Enata
8,Hobyo,SO,78.42,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
11,Norman Wells,CA,78.35,clear sky,65.282,-126.8329,Heritage Hotel
16,Ojinaga,MX,85.15,clear sky,29.5667,-104.4167,Suites Las Palmas
19,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
25,Zhuhai,CN,85.78,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
27,Arlit,NE,86.05,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
29,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
40,San Buenaventura,MX,87.22,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
48,Joshimath,IN,82.09,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
50,Amahai,ID,79.3,heavy intensity rain,-3.3333,128.9167,HOTEL ISABELA
51,Basco,PH,84.92,few clouds,20.4487,121.9702,Nathaniel's Lodge
53,Nabire,ID,81.73,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
58,Vanimo,PG,83.34,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
73,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
76,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Ambon,ID,81.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
84,Aska,IN,86.09,overcast clouds,19.6061,84.6725,Tushar rent house
85,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
86,Kavaratti,IN,81.32,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
88,Hasaki,JP,84.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
89,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
91,Bengkulu,ID,85.75,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
94,Meulaboh,ID,85.84,broken clouds,4.1363,96.1285,Kost Pria
96,Damghan,IR,75.49,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
103,Kommunarka,RU,76.06,clear sky,55.5695,37.4893,Voyage Butovo
107,Namatanai,PG,79.59,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
108,Mangit,UZ,89.76,few clouds,40.5971,70.9607,Dangara Hotel
109,Lazaro Cardenas,MX,79.0,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
110,Khandbari,NP,86.02,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
117,Butaritari,KI,82.71,broken clouds,3.0707,172.7902,Isles Sunset Lodge
120,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
133,Nador,MA,75.45,broken clouds,35.174,-2.9287,Hôtel La Giralda
135,Russell,US,82.0,clear sky,32.3502,-85.1999,Macs
136,Siderno,IT,79.34,clear sky,38.2779,16.302,Grand Hotel President
139,Maitum,PH,85.77,broken clouds,6.0392,124.4986,Pearl Garden
142,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
143,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
144,Atambua,ID,76.69,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
145,Umm Lajj,SA,86.38,scattered clouds,25.0213,37.2685,Moon light Furnished Units
150,Kutum,SD,78.37,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
151,Bantogon,PH,84.04,scattered clouds,6.5333,124.0333,Kalamansig Greenhome
154,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
158,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
162,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
164,Manbij,SY,79.75,scattered clouds,36.5281,37.9549,Manbej City Hotel
166,Coahuayana,MX,78.66,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
167,My Tho,VN,89.44,overcast clouds,10.35,106.35,Sông Tiền Annex Hotel
173,Kavieng,PG,81.86,moderate rain,-2.5744,150.7967,Nusa Island Retreat
177,Faanui,PF,79.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
184,Makakilo City,US,76.75,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
186,College,US,83.59,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
190,Fairbanks,US,83.61,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
195,Victoria,HK,88.03,overcast clouds,22.2855,114.1577,Mini Central
204,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
218,Marsa Matruh,EG,78.24,clear sky,31.3525,27.2453,Beau Site
224,Contai,IN,89.24,moderate rain,21.7786,87.7536,PATHFINDER
226,Glendive,US,76.62,broken clouds,47.1053,-104.7125,Super 8 by Wyndham Glendive
228,Eyl,SO,81.93,few clouds,7.9803,49.8164,Amiin Hotel
230,Bubaque,GW,80.1,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
231,Vaitape,PF,79.29,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
233,Inuvik,CA,77.86,smoke,68.3499,-133.7218,Nova Inn Inuvik
236,Poso,ID,81.36,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
242,Xinmin,CN,75.94,overcast clouds,41.9908,122.8253,Agricultural Machinery Hotel
