,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,63.41,86,18,3.74,few clouds
1,Rikitea,PF,-23.1203,-134.9692,74.84,75,50,20.51,scattered clouds
2,Port Alfred,ZA,-33.5906,26.891,60.13,59,0,9.6,clear sky
3,Easton,US,40.6884,-75.2207,75.54,81,100,3.44,overcast clouds
4,Thompson,CA,55.7435,-97.8558,55.78,72,80,5.93,broken clouds
5,Lata,PT,40.1629,-8.3327,65.59,52,0,6.55,clear sky
6,Atuona,PF,-9.8,-139.0333,77.74,80,30,25.68,light rain
7,Hermanus,ZA,-34.4187,19.2345,53.33,62,52,10.4,broken clouds
8,Hobyo,SO,5.3505,48.5268,78.42,75,42,27.2,scattered clouds
9,Tiksi,RU,71.6872,128.8694,43.5,74,97,4.41,overcast clouds
10,Leningradskiy,RU,69.3833,178.4167,35.4,87,99,10.69,overcast clouds
11,Norman Wells,CA,65.282,-126.8329,78.35,34,5,4.5,clear sky
12,Castro,BR,-24.7911,-50.0119,53.98,71,100,3.71,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,44.47,85,100,3.31,overcast clouds
14,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,78,87,6.35,overcast clouds
15,Vestmannaeyjar,IS,63.4427,-20.2734,51.62,88,100,22.64,overcast clouds
16,Ojinaga,MX,29.5667,-104.4167,85.15,54,0,4.61,clear sky
17,Jamestown,US,42.097,-79.2353,64.04,83,0,6.91,clear sky
18,Cherskiy,RU,68.75,161.3,56.82,48,99,7.0,overcast clouds
19,Hilo,US,19.7297,-155.09,78.53,70,75,5.75,broken clouds
20,Moron,AR,-34.6534,-58.6198,53.29,95,98,9.57,overcast clouds
21,Barrow,US,71.2906,-156.7887,46.42,93,100,11.5,overcast clouds
22,Acapulco,MX,16.8634,-99.8901,80.42,83,40,0.0,scattered clouds
23,Rocha,UY,-34.4833,-54.3333,63.91,92,93,16.02,overcast clouds
24,Sembakung,ID,3.8167,117.25,85.64,65,93,2.75,overcast clouds
25,Zhuhai,CN,22.2769,113.5678,85.78,89,40,11.5,scattered clouds
26,Port Lincoln,AU,-34.7333,135.8667,56.17,66,100,11.14,overcast clouds
27,Arlit,NE,18.7369,7.3853,86.05,15,36,9.69,scattered clouds
28,Sitka,US,57.0531,-135.33,57.09,82,100,0.0,overcast clouds
29,Georgetown,MY,5.4112,100.3354,87.73,70,20,6.91,few clouds
30,Talnakh,RU,69.4865,88.3972,49.21,62,93,12.66,overcast clouds
31,Gornyy,RU,55.1153,83.9059,67.73,72,100,5.97,overcast clouds
32,Ayr,GB,55.4627,-4.6339,56.32,88,75,11.5,broken clouds
33,Narsaq,GL,60.9167,-46.05,46.62,94,100,6.06,light rain
34,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
35,Tasiilaq,GL,65.6145,-37.6368,39.36,92,100,4.68,overcast clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,59.27,52,28,13.4,scattered clouds
37,Qaanaaq,GL,77.484,-69.3632,39.9,96,100,3.91,overcast clouds
38,Mahanoro,MG,-19.9,48.8,67.98,85,63,5.01,broken clouds
39,Porosozero,RU,62.7191,32.727,62.24,58,100,6.85,overcast clouds
40,San Buenaventura,MX,27.0833,-101.5333,87.22,33,48,2.62,scattered clouds
41,Charters Towers,AU,-20.1,146.2667,67.84,43,0,10.04,clear sky
42,Aldan,RU,58.6031,125.3894,67.19,75,100,21.47,overcast clouds
43,Faya,SA,18.3851,42.4509,73.92,21,87,12.86,overcast clouds
44,Hobart,AU,-42.8794,147.3294,55.26,61,30,1.99,scattered clouds
45,Vardo,NO,70.3705,31.1107,53.58,82,42,9.22,scattered clouds
